page_type,question_id,question_type,question,battery_1,battery_2,battery_3,battery_4,battery_5,battery_6,battery_7,battery_8,battery_9,battery_10,battery_11,battery_12,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_9,option_10,option_11,option_12,option_13,option_14,option_15,option_16,option_17,option_18
question,preference_type,bucket_list,Please rank the following types of wines in order of most preferred to least preferred. You can do this by dragging your most preferred to the top of the list to the right and your least preferred to the bottom. You need to drag at least one option over.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,Rosé,White,Sparkling,Dessert red,Dessert white,None of these,I don’t have a preference,I don’t know,NA,NA,NA,NA,NA,NA,NA,NA
question,preference_grape,bucket_list,Please rank the following grape varieties in order of most preferred to least preferred. You can do this by dragging your most preferred to the top of the list to the right and your least preferred to the bottom. You need to drag at least one option over.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chardonnay,Sauvignon Blanc,Merlot,Riesling,Pinot Noir,Syrah/Shiraz,Zinfandel,Cabernet Sauvignon,Moscato,None of these,I don’t have a preference,I don’t know,NA,NA,NA,NA,NA
"question,purchase_occasion,text,""Please think back to the last time you bought wine. Using one or more words, please describe the occasion."",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
section_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
video_instruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
question,ct_1,choice_task,Please think back to the last time you bought a bottle of wine. Imagine you are thinking about buying a 75cl bottle of wine for the same occasion. Please choose your most preferred bottle of wine.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA
question,ct_2,choice_task,Please think back to the last time you bought a bottle of wine. Imagine you are thinking about buying a 75cl bottle of wine for the same occasion. Please choose your most preferred bottle of wine.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA
question,ct_3,choice_task,Please think back to the last time you bought a bottle of wine. Imagine you are thinking about buying a 75cl bottle of wine for the same occasion. Please choose your most preferred bottle of wine.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA
question,ct_4,choice_task,Please think back to the last time you bought a bottle of wine. Imagine you are thinking about buying a 75cl bottle of wine for the same occasion. Please choose your most preferred bottle of wine.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA
question,ct_5,choice_task,Please think back to the last time you bought a bottle of wine. Imagine you are thinking about buying a 75cl bottle of wine for the same occasion. Please choose your most preferred bottle of wine.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA
question,ct_6,choice_task,Please think back to the last time you bought a bottle of wine. Imagine you are thinking about buying a 75cl bottle of wine for the same occasion. Please choose your most preferred bottle of wine.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA
question,ct_7,choice_task,Please think back to the last time you bought a bottle of wine. Imagine you are thinking about buying a 75cl bottle of wine for the same occasion. Please choose your most preferred bottle of wine.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA
question,ct_8,choice_task,Please think back to the last time you bought a bottle of wine. Imagine you are thinking about buying a 75cl bottle of wine for the same occasion. Please choose your most preferred bottle of wine.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA
question,ct_9,choice_task,Please think back to the last time you bought a bottle of wine. Imagine you are thinking about buying a 75cl bottle of wine for the same occasion. Please choose your most preferred bottle of wine.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA
question,ct_10,choice_task,Please think back to the last time you bought a bottle of wine. Imagine you are thinking about buying a 75cl bottle of wine for the same occasion. Please choose your most preferred bottle of wine.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA
section_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"question,attribute_importance,battery,""Thinking about the choices you just made, please indicate how important each attribute was when making your choice."",Country of origin,Colour,Alcohol by volume,Grape variety,Characteristic of the wine,Organic,Price,NA,NA,NA,NA,NA,Not important,Slightly important,Moderately important,Important,Very important,I don’t know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"question,decision_difficulty,likert,""Thinking about the choices you just made, please indicate how easy or difficult you found choosing your most preferred bottle of wine."",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very easy,Easy,Neither easy nor difficult,Difficult,Very difficult,I don’t know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"question,decision_strategy,battery_randomized,""Thinking about the choices you just made, please indicate how strongly you agree or disagree with each of the following statements."",My priority was to find my most preferred bottle of wine,I knew the bottle of wine I was looking for,I was looking for something specific and continued to search until I found it,""Once I found my preferred bottle of wine, I didn’t feel the need to keep searching"",I chose the first bottle of wine that was “good enough”,I wanted to see all bottles of wine before making my choice,I considered all the bottles of wine and all of their characteristics before making my choice,I felt some regret when other bottles of wine had one or more better characteristics than my chosen bottle,I am satisfied with the choices that I made,I found that it took too long to search through all of the alternatives,NA,NA,Strongly agree,Agree,Neither disagree nor agree,Disagree,Strongly disagree,I don’t know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"question,realistic,likert,""Thinking about the choices you made, how realistic did you find the bottles of wine you were presented with?"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Realistic,Somewhat realistic,Neither unrealistic nor realistic,Somewhat unrealistic,Unrealistic,I don’t know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
section_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
question,gender,likert,What is your gender?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,Male,Other,Prefer not to say,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
question,age,dropdown,How old are you?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71-75,76-80,81-85,86-90,91-95,More than 95,I prefer not to say
question,education,likert,What is your highest attained level of education?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,School up to 14 years of age,School 14-16 years of age,Post school diploma or certificate,University degree,Post-graduate degree,Prefer not to say,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"question,post_code,text,""Can you please provide your postcode without the last two letters? For example, the postcode for the University of Stirling is FK9 4LA. The postcode without the last two letters is FK94."",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"question,income,dropdown,""Please indicate the category that best describes your total income (whether from employment, pensions, benefits, investments or any other source) before deduction of tax."",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""Less than £6,000 (Less than £500 per month)"",""£6,000 - £12,999 (£500 - £1,083 per month)"",""£13,000 - £18,999 (£1,084 - £1,583 per month)"",""£19,000 - £25,999 (£1,584 - £2,166 per month)"",""£26,000 - £31,999 (£2,167 – £2,666 per month)"",""£32,000 - £47,999 (£2,667 - £3,999 per month)"",""£48,000 - £63,000 (£4,000 - £5,333 per month)"",""£64,000 - £95,999 (£5,334 - £7,999 per month)"",""More than £96,000 (More than £8,000 per month)"",Prefer not to say,NA,NA,NA,NA,NA,NA,NA"
question,employment,dropdown,Please indicate the category that best describes your current work status.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Full time employed (30 hours or more per week),Part time employed (less than 30 hours per week),Self employed,Unemployed,Retired,Student,Home maker,Unable to work,Other,Prefer not to say,NA,NA,NA,NA,NA,NA,NA
"question,any_comments,text,""Please provide any comments you may have about participating in this survey."",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
final_page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
